ID;Type;Question;Answer_A;Answer_B;Answer_C;Answer_D;Correct;Flag;Asked;Answered
152;2023-05-14 19:26:32;Katya;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused
1;f;What is the 1st Ferengi Rule of Acquisition?;Once you have their money... you never give it back.;;;;;1;0;0
2;f;What is the 2nd Ferengi Rule of Acquisition?;The best deal is the one that brings the most profit.;;;;;1;0;0
3;f;What is the 2nd Ferengi Rule of Acquisition?;Money is everything.;;;;;1;0;0
4;f;What is the 3rd Ferengi Rule of Acquisition?;Never spend more for an acquisition than you have to.;;;;;1;0;0
5;f;What is the 4th Ferengi Rule of Acquisition?;Sedition and treason are always profitable.;;;;;1;0;0
6;f;What is the 5th Ferengi Rule of Acquisition?;Always exaggerate your estimates.;;;;;1;0;0
7;f;What is the 6th Ferengi Rule of Acquisition?;Never allow family to stand in the way of opportunity.;;;;;1;0;0
8;f;What is the 7th Ferengi Rule of Acquisition?;Keep your ears open.;;;;;1;0;0
9;f;What is the 8th Ferengi Rule of Acquisition?;Small print leads to large risk.;;;;;1;0;0
10;f;What is the 9th Ferengi Rule of Acquisition?;Opportunity plus instinct equals profit.;;;;;1;0;0
11;f;What is the 10th Ferengi Rule of Acquisition?;Greed is eternal.;;;;;1;0;0
12;f;What is the 13th Ferengi Rule of Acquisition?;Anything worth doing is worth doing for money.;;;;;1;0;0
13;f;What is the 14th Ferengi Rule of Acquisition?;Sometimes the quickest way to find profits is to let them find you.;;;;;1;0;0
14;f;What is the 15th Ferengi Rule of Acquisition?;Dead men close no deals.;;;;;1;0;0
15;f;What is the 16th Ferengi Rule of Acquisition?;A deal is a deal... until a better one comes along.;;;;;1;0;0
16;f;What is the 17th Ferengi Rule of Acquisition?;A contract is a contract is a contract... but only between Ferengi;;;;;1;0;0
17;f;What is the 18th Ferengi Rule of Acquisition?;A Ferengi without profit is no Ferengi at all.;;;;;1;0;0
18;f;What is the 19th Ferengi Rule of Acquisition?;Satisfaction is not guaranteed.;;;;;1;0;0
19;f;What is the 20th Ferengi Rule of Acquisition?;He who dives under the table today lives to profit tomorrow.;;;;;1;0;0
20;f;What is the 21st Ferengi Rule of Acquisition?;Never place friendship above profit.;;;;;1;0;0
21;f;What is the 22nd Ferengi Rule of Acquisition?;A wise man can hear profit in the wind.;;;;;1;0;0
22;f;What is the 23rd Ferengi Rule of Acquisition?;Nothing is more important than your health... except for your money.;;;;;1;0;0
23;f;What is the 27th Ferengi Rule of Acquisition?;There's nothing more dangerous than an honest businessman.;;;;;1;0;0
24;f;What is the 29th Ferengi Rule of Acquisition?;What's in it for me?;;;;;1;0;0
25;f;What is the 30th Ferengi Rule of Acquisition?;"""Confidentiality equals profit.""";;;;;1;0;0
26;f;What is the 31st Ferengi Rule of Acquisition?;Never make fun of a Ferengi's mother. Insult something he cares about instead.;;;;;1;0;0
27;f;What is the 33rd Ferengi Rule of Acquisition?;It never hurts to suck up to the boss.;;;;;1;0;0
28;f;What is the 34th Ferengi Rule of Acquisition?;War is good for business.;;;;;1;0;0
29;f;What is the 35th Ferengi Rule of Acquisition?;Peace is good for business.;;;;;1;0;0
30;f;What is the 37th Ferengi Rule of Acquisition?;The early investor reaps the most interest.;;;;;1;0;0
31;f;What is the 39th Ferengi Rule of Acquisition?;Don't tell customers more than they need to know.;;;;;1;0;0
32;f;What is the 40th Ferengi Rule of Acquisition?;She can touch your lobes but never your�latinum.;;;;;1;0;0
33;f;What is the 41st Ferengi Rule of Acquisition?;Profit is its own reward.;;;;;1;0;0
34;f;What is the 43rd Ferengi Rule of Acquisition?;Feed your greed,  but not enough to choke it.;;;;;1;0;0
35;f;What is the 44th Ferengi Rule of Acquisition?;Never confuse wisdom with luck.;;;;;1;0;0
